"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1562115	0.9591580	0.4829261	0.0337694	0.0456635	0.8022293	0.4966872	0.9387299	0.0246927	0.0328887
1	0.1199912	0.8371106	0.5231781	0.0069386	0.0562055	0.7753496	0.4297694	0.9219297	0.0169539	0.0262576
2	0.1647877	0.8011958	0.4693960	0.0000000	0.0887712	0.8136901	0.4584590	0.9028949	0.0183970	0.0422198
3	0.0927569	0.7966775	0.4572497	0.0000000	0.0582283	0.8120931	0.4479627	0.8682428	0.0013879	0.0289414
4	0.0949799	0.8057192	0.4976211	0.0000000	0.0896972	0.8105338	0.4458240	0.8571902	0.0171728	0.0394669
5	0.0903714	0.8103737	0.4547147	0.0025974	0.0553085	0.7926132	0.4134698	0.8814541	0.0202102	0.0654961
6	0.1019115	0.7498437	0.4618449	0.0200361	0.0782169	0.8303349	0.4183111	0.8651923	0.0000000	0.0025347
7	0.1099722	0.7431979	0.4273428	0.0448258	0.1043962	0.8344319	0.3950520	0.8796156	0.0000000	0.0435717
8	0.1026047	0.7586304	0.4235684	0.0000000	0.1208403	0.7997997	0.4509936	0.8650126	0.0000000	0.0461113
9	0.1391178	0.7438686	0.4020671	0.0574061	0.1007244	0.7818453	0.3913196	0.8935175	0.0198077	0.0459217
10	0.0811535	0.7717486	0.3963363	0.0321914	0.1206575	0.7915590	0.3717100	0.8933690	0.0256428	0.0543000
11	0.1100933	0.7210499	0.4698751	0.0000000	0.1704679	0.7405824	0.4036196	0.8729860	0.0116169	0.0563580
12	0.1478838	0.7361008	0.4634636	0.0225599	0.1401301	0.7660884	0.3951115	0.8699947	0.0379183	0.0570680
13	0.0934394	0.7096004	0.4542692	0.0289808	0.2072673	0.8050031	0.4192205	0.8784394	0.0251251	0.0186144
14	0.0811593	0.7189750	0.4364982	0.0308731	0.1753738	0.7586760	0.3633019	0.8895297	0.0449137	0.0264671
15	0.0987607	0.6939722	0.4161003	0.0172692	0.2069977	0.7484300	0.4176149	0.8494903	0.0283987	0.0761300
16	0.1124821	0.6696991	0.4143361	0.0021891	0.1897191	0.7372801	0.3340510	0.8498059	0.0000000	0.0296082
17	0.0878907	0.6693987	0.4259388	0.0274241	0.1771287	0.7337039	0.3669654	0.8558602	0.0136902	0.0573013
18	0.0885276	0.7099743	0.4146623	0.0000000	0.1909941	0.7791688	0.3880364	0.9017929	0.0023904	0.0308207
19	0.0955678	0.6929368	0.4298454	0.0033960	0.2240220	0.8198665	0.3518892	0.9342883	0.0032902	0.0511355
20	0.0879802	0.6970948	0.4326307	0.0159262	0.2391859	0.8178846	0.3845951	0.9577911	0.0153573	0.0605311
21	0.0684084	0.6811014	0.3788264	0.0049768	0.2669205	0.7573686	0.3119017	0.9064144	0.0130272	0.0505136
22	0.0928481	0.6766776	0.3842385	0.0326111	0.2900984	0.7931175	0.3231903	0.9451631	0.0224810	0.0261466
23	0.0623412	0.6506029	0.4102778	0.0128815	0.2972229	0.7628394	0.2865745	0.8737949	0.0276066	0.0441607
24	0.1402743	0.6633940	0.4005107	0.0019430	0.2444346	0.7745752	0.3138847	0.9234738	0.0476084	0.0789553
25	0.1170730	0.6521882	0.3841111	0.0391786	0.3257075	0.7810370	0.3248780	0.9444114	0.0231900	0.0445270
26	0.1008798	0.7146169	0.3690775	0.0258276	0.2847914	0.7763074	0.3109585	0.9155189	0.0659081	0.0640063
27	0.0999240	0.6754736	0.3511599	0.0233414	0.3287055	0.7790729	0.3438268	0.9257516	0.0169622	0.0831512
28	0.1433901	0.6968243	0.3508250	0.0117659	0.3004614	0.7980781	0.2938309	0.8954073	0.0369682	0.0742969
29	0.0922182	0.6849559	0.3396833	0.0211566	0.3369121	0.8100210	0.3527583	0.9371839	0.0235818	0.0836082
30	0.1041012	0.6957349	0.3081191	0.0138198	0.3123375	0.7810385	0.2968032	0.9130301	0.0287557	0.0839577
31	0.1045386	0.6814245	0.3059021	0.0360760	0.3781263	0.7543257	0.3143113	0.9392253	0.0464547	0.0421240
32	0.0882429	0.6398376	0.3219374	0.0000000	0.3964747	0.7628373	0.3022658	0.9406382	0.0145898	0.0817324
33	0.0637454	0.6336476	0.3075195	0.0200545	0.3676176	0.8172180	0.2887841	0.9226426	0.0561626	0.0028361
34	0.1078006	0.5917765	0.3571405	0.0000000	0.4173457	0.7983172	0.2944094	0.9255721	0.0367300	0.0354312
35	0.1133032	0.6499988	0.3293300	0.0000000	0.3615595	0.8335450	0.2789757	0.9252173	0.0114171	0.0890528
36	0.0725220	0.6310584	0.3303747	0.0276992	0.3953935	0.7890649	0.2578023	0.9079136	0.0231680	0.0707026
37	0.1023120	0.6112638	0.3311373	0.0127496	0.4002152	0.8069682	0.3015031	0.8667275	0.0387514	0.0781635
38	0.1203953	0.5788664	0.3806516	0.0171225	0.3820842	0.8129352	0.3093270	0.9094513	0.0318326	0.0697784
39	0.0804073	0.6112079	0.3231365	0.0579228	0.4143118	0.8026492	0.2683584	0.8988342	0.0243853	0.0524272
40	0.1233771	0.5817247	0.3378091	0.0235075	0.3662107	0.8016108	0.2620904	0.9156916	0.0000000	0.0189848
41	0.1011611	0.5947143	0.3237344	0.0199875	0.3903080	0.8442948	0.2651408	0.8736986	0.0189835	0.0348022
42	0.1173485	0.6153807	0.3440298	0.0128323	0.4323631	0.8432087	0.3195348	0.8421003	0.0468399	0.0305993
43	0.1192775	0.6018271	0.3176980	0.0000000	0.4153285	0.8154950	0.3086716	0.8901182	0.0224081	0.0215016
44	0.0869642	0.5927170	0.2907039	0.1018268	0.4303809	0.8421889	0.3100554	0.8640410	0.0506706	0.0796078
45	0.1060256	0.5627014	0.2260703	0.0328600	0.4317889	0.8282369	0.2832062	0.9281865	0.0270578	0.0750599
46	0.0822861	0.5924201	0.2678763	0.0189020	0.4282142	0.8165453	0.2829640	0.8975141	0.0388317	0.0729186
47	0.0852301	0.5154965	0.2708450	0.0530520	0.4831234	0.7887890	0.2983753	0.8310143	0.0247612	0.0548315
48	0.1094317	0.5701863	0.3094798	0.0000000	0.4605620	0.8476970	0.2788665	0.8861638	0.0282739	0.0326936
49	0.0618793	0.5544503	0.2746347	0.0500799	0.4550173	0.8039085	0.2517746	0.8985366	0.0145831	0.0302322
50	0.0788315	0.5401097	0.2471098	0.0000000	0.5099750	0.8250364	0.2702292	0.9123771	0.0148478	0.0643940
51	0.0427014	0.5356990	0.2750711	0.0000000	0.4341016	0.8371290	0.2819946	0.8730305	0.0233833	0.0213145
52	0.0711488	0.6075697	0.3020317	0.0156866	0.5121836	0.8622048	0.2940630	0.8769882	0.0000000	0.0295461
53	0.0937530	0.5445791	0.2797334	0.0663832	0.4850456	0.7867986	0.2421841	0.9081514	0.0193419	0.0000000
54	0.0587347	0.5426613	0.2547138	0.0258191	0.4636177	0.7922373	0.2297464	0.8873065	0.0421519	0.0435255
55	0.0572129	0.5281531	0.2879126	0.0177312	0.4922249	0.8116265	0.3138998	0.9491733	0.0613512	0.0597664
56	0.0882308	0.5088982	0.3048210	0.0450305	0.4749852	0.8580270	0.2619901	0.9073941	0.0088540	0.0356040
57	0.1044993	0.5222140	0.2985275	0.0089274	0.4770601	0.8094890	0.2469405	0.9175797	0.0650398	0.0323830
58	0.1203826	0.4963751	0.3054425	0.0000000	0.4718719	0.8166003	0.2753856	0.9120673	0.0424678	0.0239149
59	0.0769752	0.5360999	0.2795061	0.0432941	0.5326536	0.8039041	0.2535382	0.9164598	0.0745639	0.0412273
60	0.0686285	0.5042559	0.2895309	0.0806182	0.4368666	0.7708640	0.2548263	0.9167533	0.0242871	0.0531453
61	0.0970399	0.5062550	0.2649717	0.0287913	0.4913402	0.8039218	0.2264625	0.9042658	0.0165806	0.0726277
62	0.0963855	0.5342541	0.2850213	0.0251593	0.5165324	0.7613526	0.2118672	0.8968783	0.0017981	0.0473321
63	0.0732389	0.4992367	0.2870970	0.0467916	0.4940328	0.8202242	0.2621997	0.8598830	0.0535776	0.0710027
64	0.1106979	0.4840702	0.2359508	0.0000000	0.4513847	0.7895079	0.2301735	0.8860389	0.0205143	0.0803016
65	0.0716490	0.5142508	0.2558973	0.0295013	0.5095777	0.7731123	0.2687866	0.8697916	0.0386619	0.0368622
66	0.0589978	0.4739341	0.2602304	0.0368023	0.4435244	0.7531206	0.2308372	0.8947927	0.0440041	0.0330715
67	0.0883964	0.4810483	0.2456159	0.0011872	0.4612172	0.7854382	0.2235157	0.9087300	0.0404581	0.0654829
68	0.0833608	0.4611901	0.2924163	0.0000000	0.4202028	0.7574857	0.2317739	0.8834399	0.0000000	0.0232064
69	0.0957195	0.4704439	0.2809363	0.0113167	0.4875228	0.7817917	0.2167420	0.9039491	0.0290450	0.0346729
70	0.0574646	0.4851178	0.2544638	0.0280068	0.5097585	0.7816409	0.2415421	0.8764034	0.0015942	0.0543259
71	0.0644376	0.4680052	0.2439568	0.0123936	0.5262349	0.8231419	0.2105664	0.8780803	0.0114033	0.0120716
72	0.1361883	0.4769769	0.2464138	0.0097492	0.5009281	0.7764321	0.1932136	0.8802150	0.0140306	0.0085285
73	0.0782656	0.4502528	0.2031658	0.0078905	0.5738918	0.7759194	0.2189239	0.8504881	0.0000000	0.0080313
74	0.1010670	0.4419182	0.2267230	0.0214144	0.5372822	0.7720405	0.1768590	0.8597601	0.0000000	0.0385130
75	0.1174666	0.4751740	0.2603454	0.0000000	0.5604623	0.8207000	0.2123770	0.8419656	0.0082189	0.0153988
76	0.1327407	0.4431608	0.2294284	0.0330236	0.5335257	0.8080408	0.1846853	0.8820937	0.0242038	0.0451451
77	0.0942528	0.4343892	0.3013703	0.0049995	0.5262620	0.8293967	0.2169277	0.8509873	0.0180426	0.0604019
78	0.0914875	0.4448879	0.2471903	0.0001657	0.5690700	0.7430248	0.2047408	0.8479806	0.0286475	0.0157199
79	0.1223937	0.3844735	0.2597533	0.0279427	0.5647773	0.7898379	0.1932908	0.8541685	0.0143027	0.0181673
80	0.0586890	0.4061846	0.2438081	0.0515256	0.5701828	0.7748441	0.1678122	0.9056095	0.0476955	0.0077072
81	0.0424620	0.4024465	0.2475548	0.0587574	0.5520013	0.7941723	0.2032389	0.8511103	0.0637774	0.0193696
82	0.1008822	0.4092587	0.2335568	0.0704889	0.5259774	0.8102295	0.1621522	0.8571954	0.0192822	0.0485903
83	0.0738600	0.4361636	0.2352363	0.0096529	0.5529870	0.7599028	0.1718324	0.8474731	0.0368237	0.0643212
84	0.1055888	0.4451308	0.2433637	0.0101520	0.5721326	0.7858082	0.1830905	0.8815884	0.0020783	0.0477155
85	0.0843239	0.4302882	0.2730698	0.0158643	0.5515797	0.7364863	0.1816902	0.8841597	0.0281912	0.0583127
86	0.0972977	0.4010729	0.2475053	0.0625097	0.5731864	0.7321924	0.1829195	0.8479739	0.0000000	0.0574332
87	0.0738023	0.3941344	0.2281262	0.0472495	0.5314391	0.7945242	0.1807907	0.8913565	0.0432343	0.0435317
88	0.1146722	0.4276673	0.2345555	0.0000000	0.5560918	0.7391318	0.1855590	0.8772897	0.0133535	0.0463308
89	0.0879710	0.4119367	0.2413104	0.0171938	0.5413942	0.7241878	0.1512576	0.8789066	0.0082169	0.0236235
90	0.0880919	0.3759103	0.2401265	0.0158756	0.5830124	0.7427775	0.1437822	0.8596732	0.0141622	0.0535304
91	0.1484656	0.4047297	0.2157013	0.0228454	0.6005406	0.7377205	0.1659351	0.8810702	0.0482391	0.0142027
92	0.0733386	0.3992111	0.1847507	0.0035013	0.6467141	0.7706159	0.1724837	0.8245211	0.0222242	0.0560587
93	0.1107107	0.3891941	0.2025013	0.0380354	0.5866531	0.7404186	0.1809145	0.8561307	0.0301867	0.0617671
94	0.1247898	0.3723011	0.1696804	0.0516021	0.6088598	0.7559439	0.1470846	0.8858095	0.0335380	0.0961671
95	0.1400108	0.3473195	0.2050423	0.0020119	0.6157012	0.7457042	0.1461203	0.8850911	0.0234555	0.0766244
96	0.1169712	0.3757638	0.2010025	0.0362403	0.5961598	0.7217813	0.1610545	0.8482508	0.0325873	0.0797832
97	0.1341185	0.3902319	0.2266975	0.0156671	0.6120718	0.7332151	0.1376489	0.9160179	0.0000000	0.0212528
98	0.0975866	0.3727165	0.2374712	0.0223693	0.6186419	0.7669209	0.1483946	0.8624537	0.0161609	0.0723405
99	0.1250734	0.3654502	0.1865127	0.0175981	0.6199204	0.7461567	0.1710859	0.8579813	0.0231368	0.0155629
100	0.1195023	0.3852316	0.2222423	0.0162457	0.6418289	0.7911712	0.2005036	0.8674115	0.0491728	0.0536689
101	0.1431543	0.3560552	0.2220567	0.0000000	0.6176435	0.7742635	0.1360851	0.8921892	0.0161716	0.0303658
102	0.1438618	0.3695374	0.2237964	0.0098788	0.6214564	0.7418304	0.1393650	0.8801571	0.0451460	0.0185652
103	0.1283704	0.4063991	0.2081784	0.0407665	0.6061954	0.7520647	0.1533147	0.9326541	0.0539987	0.0165421
104	0.1703690	0.3647203	0.1967093	0.0699451	0.6381868	0.7326316	0.1201289	0.8832865	0.0000000	0.0824058
105	0.1301717	0.3612921	0.2121709	0.0315646	0.6455678	0.7553665	0.1386177	0.9118062	0.0534639	0.0722508
106	0.1342168	0.3660878	0.2081630	0.0503741	0.6462628	0.7661176	0.1803099	0.8938155	0.0135255	0.0554185
107	0.1341093	0.3523070	0.2264286	0.0032740	0.6595916	0.7699855	0.1218346	0.9001153	0.0388915	0.0379250
108	0.1122059	0.3978726	0.2143650	0.0180089	0.6539052	0.7642741	0.1479808	0.8791026	0.0134226	0.0549364
109	0.1462990	0.3526370	0.2341296	0.0251807	0.6484690	0.7204225	0.1061956	0.8546547	0.0337728	0.0285915
110	0.1337806	0.3735709	0.1884767	0.0436433	0.5862084	0.7168383	0.1288464	0.8801515	0.0360952	0.0655759
111	0.0947537	0.3933113	0.2352184	0.0000000	0.6598450	0.7043862	0.1241964	0.9240917	0.0004372	0.0088928
112	0.1324603	0.3332830	0.2204027	0.0637130	0.6571434	0.7032501	0.0859966	0.9051158	0.0072530	0.0706260
113	0.1415933	0.3546171	0.2374723	0.0224051	0.6722458	0.7457243	0.1217188	0.9214904	0.0000000	0.0330843
114	0.1473049	0.3246180	0.2245518	0.0311295	0.6271880	0.6976841	0.0930446	0.9152032	0.0770688	0.0822925
115	0.1406867	0.3631489	0.1967997	0.0488545	0.6590237	0.7257517	0.1193550	0.9442002	0.0583444	0.0334459
116	0.1688405	0.3350809	0.2430893	0.0283624	0.6843161	0.6493636	0.1535479	0.8838554	0.0318377	0.0690251
117	0.0945630	0.3646585	0.2089364	0.0425681	0.6416037	0.7223992	0.0802586	0.9093990	0.0000000	0.0491875
118	0.1723147	0.3346395	0.2390167	0.0467415	0.6654283	0.6852808	0.1115947	0.8879084	0.0304905	0.0000000
119	0.1352846	0.3805884	0.2282236	0.0354395	0.6614631	0.7439763	0.1200872	0.9167905	0.0749871	0.0673543
120	0.1463361	0.3737991	0.2360109	0.0179051	0.7036740	0.7354070	0.0844231	0.9109773	0.0177333	0.0781225
121	0.1278856	0.3328848	0.2356970	0.0315904	0.6861918	0.6999087	0.1164349	0.9199948	0.0076799	0.0662826
