"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0389927	0.3178580	0.5711242	0.4165249	0.4195936	0.0831930	0.6559068	0.6911318	0.7476049	0.6743032
1	0.0145907	0.3099051	0.5157059	0.4735921	0.3571158	0.1151619	0.6884225	0.7056552	0.6091010	0.6606247
2	0.0185073	0.2434184	0.6207641	0.5035542	0.3650564	0.1045102	0.5413414	0.5763019	0.6013225	0.7855959
3	0.0326596	0.2888628	0.5132985	0.4499045	0.3901727	0.1003047	0.5547126	0.7775533	0.6809042	0.6460540
4	0.0342812	0.3594464	0.6256217	0.4976715	0.4203726	0.0942960	0.7234257	0.7210434	0.7166838	0.6996055
5	0.0363290	0.2966264	0.5822201	0.3369487	0.3079498	0.1493785	0.6233920	0.8248856	0.6027637	0.6560792
6	0.0280276	0.2703309	0.5182790	0.4741404	0.4338925	0.0850767	0.6487052	0.6836123	0.6578263	0.7194541
7	0.0134486	0.2371706	0.5248000	0.5161334	0.3703465	0.1353007	0.5919602	0.6851956	0.6120039	0.6576189
8	0.0456143	0.2973571	0.5399522	0.4797271	0.4496772	0.0981263	0.6215676	0.5700407	0.6631011	0.5818704
9	0.0327735	0.3173423	0.6197461	0.5171747	0.4184586	0.1263206	0.6277658	0.6635927	0.7315971	0.7063800
10	0.0182947	0.2945087	0.5819455	0.4331611	0.3586492	0.0868953	0.5889991	0.7212653	0.6303967	0.5881389
11	0.0131106	0.2241466	0.6027655	0.3820361	0.3402562	0.0935353	0.5449899	0.7279002	0.7286055	0.7666916
12	0.0201216	0.2394443	0.5747334	0.4376828	0.4196373	0.0923398	0.6220989	0.7168938	0.8123577	0.5990132
13	0.0220115	0.2460036	0.5693931	0.4654177	0.4225420	0.1233540	0.5953015	0.6434312	0.7503464	0.6296890
14	0.0285558	0.2808458	0.6377591	0.4056700	0.3970574	0.0876104	0.5132806	0.6287455	0.7194765	0.6537862
15	0.0189986	0.4022465	0.5082836	0.5334902	0.3847631	0.0943617	0.6405281	0.6343373	0.7543252	0.5590745
16	0.0373044	0.3209357	0.4719348	0.4970210	0.3474331	0.1080314	0.5700771	0.6848543	0.6418151	0.5216231
17	0.0203450	0.3121795	0.6442166	0.4302849	0.3994027	0.1029935	0.6957713	0.6814330	0.6901964	0.6312923
18	0.0299608	0.2861612	0.5707360	0.4181194	0.4112751	0.0794035	0.6058765	0.8572145	0.6479269	0.5790744
19	0.0210028	0.3170224	0.5288836	0.4234297	0.4047864	0.0771342	0.5504071	0.6525077	0.6752595	0.6646271
20	0.0298429	0.2887082	0.6792320	0.5001826	0.3896650	0.0511945	0.6351029	0.7608554	0.7113712	0.5901535
21	0.0220675	0.2671978	0.5897124	0.4615584	0.3500463	0.1255292	0.6772281	0.6222688	0.7814441	0.5912972
22	0.0475794	0.2836857	0.4953165	0.4812031	0.4376628	0.0875169	0.5928491	0.6381765	0.6436211	0.6600237
23	0.0308473	0.3152819	0.6318672	0.5127254	0.4210224	0.0576110	0.6150469	0.6702297	0.5962065	0.5144137
24	0.0229221	0.2749975	0.5761482	0.4755433	0.3761633	0.0934137	0.7177048	0.6454563	0.7069699	0.6192925
25	0.0275391	0.2807115	0.6072474	0.4632030	0.3986100	0.0551618	0.6903469	0.6155516	0.6157002	0.6513427
26	0.0233153	0.3997236	0.5227291	0.3929578	0.3891259	0.0783659	0.6388386	0.5240095	0.7340230	0.6791561
27	0.0299163	0.3088537	0.4781879	0.4540076	0.4233021	0.0564306	0.6857856	0.6151353	0.6488221	0.5802189
28	0.0391525	0.3203289	0.5255960	0.5383338	0.4250304	0.1185664	0.5994993	0.6926718	0.6313472	0.5721065
29	0.0160853	0.2849069	0.6061691	0.4370763	0.3782275	0.0917045	0.6163843	0.6721556	0.6315142	0.6476326
30	0.0287482	0.2729006	0.6228320	0.5980199	0.4181689	0.0727447	0.6476315	0.6557928	0.7480571	0.5525686
31	0.0502138	0.4489551	0.5583839	0.4708851	0.4052111	0.0857121	0.6399148	0.8011919	0.6800797	0.5561720
32	0.0382653	0.3026599	0.5580687	0.5035121	0.4500777	0.0567424	0.5778782	0.7450017	0.7023528	0.6640576
33	0.0323248	0.2817693	0.5458176	0.4853490	0.4520878	0.0477265	0.6855644	0.6288104	0.5838789	0.4890803
34	0.0274900	0.3036592	0.5911650	0.4617367	0.4972339	0.0461722	0.7518752	0.6845252	0.6206786	0.5194134
35	0.0432631	0.3161751	0.5961651	0.4101603	0.4333816	0.0685500	0.6141126	0.7628547	0.7886423	0.5872732
36	0.0259137	0.2961196	0.5775273	0.4130751	0.3935148	0.0457509	0.7574162	0.6393086	0.6985190	0.5902560
37	0.0666821	0.3077874	0.6591540	0.4923118	0.4071693	0.0690689	0.8088864	0.6236307	0.5695124	0.6274365
38	0.0408581	0.3179206	0.6514229	0.4875673	0.4506349	0.0653003	0.7638282	0.5211987	0.6734736	0.6004621
39	0.0436019	0.3025135	0.5617907	0.5212793	0.3805294	0.0410990	0.6728090	0.6227457	0.7241276	0.5619838
